userId,movieId,rating,timestamp
1,1,4,964982703
1,2,3,964981247
1,3,5,964981720
1,4,2,964981820
1,5,3,964981888
1,6,1,964981442
1,7,4,964981203
1,8,3,946981032
1,9,1,964982730
1,10,3,96498299
2,1,5,964982703
2,2,2,964981247
2,3,4,964981720
2,4,2,964981820
2,5,5,964981888
2,6,1,964981442
2,7,3,964981203
2,8,2,946981032
2,9,5,964982730
2,10,1,96498299
3,1,2,964982703
3,2,4,964981247
3,3,1,964981720
3,4,1,964981820
3,5,1,964981888
3,6,2,964981442
3,7,3,964981203
3,8,5,946981032
3,9,1,964982730
3,10,2,96498299
4,1,1,964982703
4,2,1,964981247
4,3,2,964981720
4,4,2,964981820
4,5,1,964981888
4,6,5,964981442
4,7,5,964981203
4,8,5,946981032
4,9,4,964982730
4,10,2,96498299
5,1,1,964982703
5,2,5,964981247
5,3,3,964981720
5,4,3,964981820
5,5,3,964981888
5,6,4,964981442
5,7,3,964981203
5,8,2,946981032
5,9,2,964982730
5,10,5,96498299
6,1,4,964982703
6,2,4,964981247
6,3,3,964981720
6,4,3,964981820
6,5,4,964981888
6,6,1,964981442
6,7,4,964981203
6,8,3,946981032
6,9,5,964982730
6,10,2,96498299
7,1,3,964982703
7,2,3,964981247
7,3,3,964981720
7,4,1,964981820
7,5,4,964981888
7,6,4,964981442
7,7,4,964981203
7,8,3,946981032
7,9,3,964982730
7,10,4,96498299
8,1,5,964982703
8,2,2,964981247
8,3,1,964981720
8,4,3,964981820
8,5,5,964981888
8,6,2,964981442
8,7,3,964981203
8,8,4,946981032
8,9,2,964982730
8,10,2,96498299
9,1,3,964982703
9,2,3,964981247
9,3,3,964981720
9,4,2,964981820
9,5,1,964981888
9,6,5,964981442
9,7,5,964981203
9,8,5,946981032
9,9,4,964982730
9,10,2,96498299
10,1,1,964982703
10,2,5,964981247
10,3,4,964981720
10,4,3,964981820
10,5,2,964981888
10,6,3,964981442
10,7,1,964981203
10,8,5,946981032
10,9,4,964982730
10,10,3,96498299
